コード,会社名,市場区分,新市場区分,「上場維持基準の適合に向けた計画書」を開示している会社,備考
1301,株式会社極洋,市場第一部,プライム市場,,
1332,日本水産株式会社,市場第一部,プライム市場,,
1333,マルハニチロ株式会社,市場第一部,プライム市場,,
1352,株式会社ホウスイ,市場第一部,スタンダード市場,✓,
1375,株式会社雪国まいたけ,市場第一部,プライム市場,,
1376,カネコ種苗株式会社,市場第一部,スタンダード市場,,
1377,株式会社サカタのタネ,市場第一部,プライム市場,,
1379,ホクト株式会社,市場第一部,プライム市場,,
1380,株式会社秋川牧園,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1381,株式会社アクシーズ,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1382,株式会社ホーブ,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
1383,ベルグアース株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1384,株式会社ホクリヨウ,市場第一部,スタンダード市場,,
1400,ルーデン・ホールディングス株式会社,ＪＡＳＤＡＱグロース,グロース市場,,
1401,株式会社エムビーエス,マザーズ,グロース市場,,
1407,株式会社ウエストホールディングス,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1413,株式会社ヒノキヤグループ,市場第一部,プライム市場,,
1414,ショーボンドホールディングス株式会社,市場第一部,プライム市場,,
1417,株式会社ミライト・ホールディングス,市場第一部,プライム市場,,
1418,インターライフホールディングス株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1419,タマホーム株式会社,市場第一部,プライム市場,,
1420,サンヨーホームズ株式会社,市場第一部,スタンダード市場,✓,
1429,株式会社日本アクア,市場第一部,プライム市場,✓,
1430,ファーストコーポレーション株式会社,市場第一部,プライム市場,✓,
1431,株式会社Ｌｉｂ　Ｗｏｒｋ,マザーズ,グロース市場,,
1433,ベステラ株式会社,市場第一部,プライム市場,✓,
1434,ＪＥＳＣＯホールディングス株式会社,市場第二部,スタンダード市場,,
1435,株式会社Ｒｏｂｏｔ　Ｈｏｍｅ,市場第一部,プライム市場,,
1436,株式会社フィット,マザーズ,グロース市場,✓,
1439,株式会社安江工務店,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
1443,技研ホールディングス株式会社,市場第二部,スタンダード市場,,
1446,株式会社キャンディル,市場第一部,スタンダード市場,,
1447,ＩＴｂｏｏｋホールディングス株式会社,マザーズ,グロース市場,,
1448,株式会社スペースバリューホールディングス,市場第一部,プライム市場,,
1450,田中建設工業株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1451,株式会社ＫＨＣ,市場第二部,スタンダード市場,,
1491,中外鉱業株式会社,市場第二部,スタンダード市場,,
1514,住石ホールディングス株式会社,市場第一部,スタンダード市場,,
1515,日鉄鉱業株式会社,市場第一部,プライム市場,,
1518,三井松島ホールディングス株式会社,市場第一部,プライム市場,,
1605,株式会社ＩＮＰＥＸ,市場第一部,プライム市場,,
1662,石油資源開発株式会社,市場第一部,プライム市場,,
1663,Ｋ＆Ｏエナジーグループ株式会社,市場第一部,プライム市場,✓,
1711,株式会社ＳＤＳホールディングス,市場第二部,スタンダード市場,,
1712,株式会社ダイセキ環境ソリューション,市場第一部,プライム市場,✓,
1716,第一カッター興業株式会社,市場第一部,プライム市場,,
1717,明豊ファシリティワークス株式会社,市場第一部,スタンダード市場,,
1718,美樹工業株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1719,株式会社安藤・間,市場第一部,プライム市場,,
1720,東急建設株式会社,市場第一部,プライム市場,,
1721,コムシスホールディングス株式会社,市場第一部,プライム市場,,
1723,日本電技株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1724,シンクレイヤ株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1726,株式会社ビーアールホールディングス,市場第一部,プライム市場,,
1730,麻生フオームクリート株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
1736,株式会社オーテック,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1737,三井金属エンジニアリング株式会社,市場第二部,スタンダード市場,,
1739,株式会社メルディアＤＣ,ＪＡＳＤＡＱグロース,グロース市場,,
1743,コーアツ工業株式会社,市場第二部,スタンダード市場,,
1757,中小企業ホールディングス株式会社,市場第二部,スタンダード市場,,
1758,太洋基礎工業株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1762,株式会社高松コンストラクショングループ,市場第一部,プライム市場,,
1764,工藤建設株式会社,市場第二部,スタンダード市場,✓,
1766,東建コーポレーション株式会社,市場第一部,プライム市場,,
1768,株式会社ソネック,市場第一部,スタンダード市場,,
1770,藤田エンジニアリング株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1773,ワイ・ティー・エル・コーポレーション・バーハッド,市場第一部（外国株）,プライム市場（外国株）,,
1775,富士古河Ｅ＆Ｃ株式会社,市場第二部,スタンダード市場,,
1776,三井住建道路株式会社,市場第二部,スタンダード市場,,
1780,株式会社ヤマウラ,市場第一部,プライム市場,,
1783,株式会社アジアゲートホールディングス,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1786,オリエンタル白石株式会社,市場第一部,プライム市場,,
1787,株式会社ナカボーテック,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1788,株式会社三東工業社,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
1789,株式会社ＥＴＳホールディングス,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1793,株式会社大本組,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1795,株式会社マサル,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1798,株式会社守谷商会,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1799,第一建設工業株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1801,大成建設株式会社,市場第一部,プライム市場,,
1802,株式会社大林組,市場第一部,プライム市場,,
1803,清水建設株式会社,市場第一部,プライム市場,,
1805,飛島建設株式会社,市場第一部,プライム市場,,
1807,株式会社佐藤渡辺,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1808,株式会社長谷工コーポレーション,市場第一部,プライム市場,,
1810,松井建設株式会社,市場第一部,プライム市場,✓,
1811,株式会社錢高組,市場第一部,スタンダード市場,,
1812,鹿島建設株式会社,市場第一部,プライム市場,,
1813,株式会社不動テトラ,市場第一部,プライム市場,,
1814,大末建設株式会社,市場第一部,プライム市場,✓,
1815,鉄建建設株式会社,市場第一部,プライム市場,,
1820,西松建設株式会社,市場第一部,プライム市場,,
1821,三井住友建設株式会社,市場第一部,プライム市場,,
1822,大豊建設株式会社,市場第一部,プライム市場,,
1826,佐田建設株式会社,市場第一部,スタンダード市場,,
1827,株式会社ナカノフドー建設,市場第一部,スタンダード市場,,
1828,田辺工業株式会社,市場第二部,スタンダード市場,,
1833,株式会社奥村組,市場第一部,プライム市場,,
1835,東鉄工業株式会社,市場第一部,プライム市場,,
1840,株式会社土屋ホールディングス,市場第二部,スタンダード市場,,
1841,サンユー建設株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1844,株式会社大盛工業,市場第二部,スタンダード市場,,
1847,株式会社イチケン,市場第一部,プライム市場,✓,
1848,株式会社富士ピー・エス,市場第一部,スタンダード市場,,
1850,南海辰村建設株式会社,市場第二部,スタンダード市場,✓,
1852,株式会社淺沼組,市場第一部,プライム市場,,
1853,株式会社森組,市場第二部,スタンダード市場,,
1860,戸田建設株式会社,市場第一部,プライム市場,,
1861,株式会社熊谷組,市場第一部,プライム市場,,
1866,北野建設株式会社,市場第一部,スタンダード市場,,
1867,株式会社植木組,市場第一部,スタンダード市場,,
1870,矢作建設工業株式会社,市場第一部,プライム市場,,
1871,株式会社ピーエス三菱,市場第一部,プライム市場,,
1873,株式会社日本ハウスホールディングス,市場第一部,プライム市場,,
1878,大東建託株式会社,市場第一部,プライム市場,,
1879,新日本建設株式会社,市場第一部,プライム市場,✓,
1881,株式会社ＮＩＰＰＯ,市場第一部,プライム市場,,
1882,東亜道路工業株式会社,市場第一部,プライム市場,,
1884,日本道路株式会社,市場第一部,プライム市場,,
1885,東亜建設工業株式会社,市場第一部,プライム市場,,
1887,日本国土開発株式会社,市場第一部,プライム市場,,
1888,若築建設株式会社,市場第一部,プライム市場,,
1890,東洋建設株式会社,市場第一部,プライム市場,,
1893,五洋建設株式会社,市場第一部,プライム市場,,
1897,金下建設株式会社,市場第二部,スタンダード市場,,
1898,世紀東急工業株式会社,市場第一部,プライム市場,,
1899,株式会社福田組,市場第一部,プライム市場,,
1904,大成温調株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1905,株式会社テノックス,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1909,日本ドライケミカル株式会社,市場第一部,スタンダード市場,,
1911,住友林業株式会社,市場第一部,プライム市場,,
1914,日本基礎技術株式会社,市場第一部,スタンダード市場,,
1921,株式会社巴コーポレーション,市場第一部,スタンダード市場,,
1925,大和ハウス工業株式会社,市場第一部,プライム市場,,
1926,ライト工業株式会社,市場第一部,プライム市場,,
1928,積水ハウス株式会社,市場第一部,プライム市場,,
1929,日特建設株式会社,市場第一部,プライム市場,,
1930,北陸電気工事株式会社,市場第一部,プライム市場,✓,
1934,株式会社ユアテック,市場第一部,プライム市場,,
1938,日本リーテック株式会社,市場第一部,プライム市場,,
1939,株式会社四電工,市場第一部,プライム市場,✓,
1941,株式会社中電工,市場第一部,プライム市場,,
1942,株式会社関電工,市場第一部,プライム市場,,
1944,株式会社きんでん,市場第一部,プライム市場,,
1945,株式会社東京エネシス,市場第一部,プライム市場,,
1946,株式会社トーエネック,市場第一部,プライム市場,,
1948,株式会社弘電社,市場第二部,スタンダード市場,,
1949,住友電設株式会社,市場第一部,プライム市場,,
1950,日本電設工業株式会社,市場第一部,プライム市場,,
1951,エクシオグループ株式会社,市場第一部,プライム市場,,
1952,新日本空調株式会社,市場第一部,プライム市場,,
1954,日本工営株式会社,市場第一部,プライム市場,,
1959,株式会社九電工,市場第一部,プライム市場,,
1960,株式会社サンテック,市場第二部,スタンダード市場,,
1961,三機工業株式会社,市場第一部,プライム市場,,
1963,日揮ホールディングス株式会社,市場第一部,プライム市場,,
1964,中外炉工業株式会社,市場第一部,プライム市場,,
1965,株式会社テクノ菱和,市場第二部,スタンダード市場,,
1966,株式会社高田工業所,市場第二部,スタンダード市場,,
1967,株式会社ヤマト,市場第一部,スタンダード市場,,
1968,太平電業株式会社,市場第一部,プライム市場,,
1969,高砂熱学工業株式会社,市場第一部,プライム市場,,
1971,中央ビルト工業株式会社,市場第二部,スタンダード市場,✓,
1972,三晃金属工業株式会社,市場第一部,スタンダード市場,,
1973,ＮＥＣネッツエスアイ株式会社,市場第一部,プライム市場,,
1975,株式会社朝日工業社,市場第一部,プライム市場,✓,
1976,明星工業株式会社,市場第一部,プライム市場,,
1979,株式会社大氣社,市場第一部,プライム市場,,
1980,ダイダン株式会社,市場第一部,プライム市場,,
1981,株式会社協和日成,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1982,日比谷総合設備株式会社,市場第一部,プライム市場,,
1992,神田通信機株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1994,高橋カーテンウォール工業株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
1997,暁飯島工業株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2001,株式会社ニップン,市場第一部,プライム市場,,
2002,株式会社日清製粉グループ本社,市場第一部,プライム市場,,
2003,日東富士製粉株式会社,市場第一部,スタンダード市場,,
2004,昭和産業株式会社,市場第一部,プライム市場,,
2009,鳥越製粉株式会社,市場第一部,スタンダード市場,,
2053,中部飼料株式会社,市場第一部,プライム市場,,
2055,日和産業株式会社,市場第二部,スタンダード市場,,
2060,フィード・ワン株式会社,市場第一部,プライム市場,,
2107,東洋精糖株式会社,市場第一部,スタンダード市場,,
2108,日本甜菜製糖株式会社,市場第一部,プライム市場,,
2109,ＤＭ三井製糖ホールディングス株式会社,市場第一部,プライム市場,,
2112,塩水港精糖株式会社,市場第一部,スタンダード市場,,
2114,フジ日本精糖株式会社,市場第二部,スタンダード市場,,
2117,日新製糖株式会社,市場第一部,プライム市場,✓,
2120,株式会社ＬＩＦＵＬＬ,市場第一部,プライム市場,,
2121,株式会社ミクシィ,市場第一部,プライム市場,,
2122,株式会社インタースペース,マザーズ,スタンダード市場,,2022年4月4日付改正有価証券上場規程（2021年4月30日公表）付則第2条第14項による選択
2124,株式会社ジェイエイシーリクルートメント,市場第一部,プライム市場,,
2127,株式会社日本Ｍ＆Ａセンターホールディングス,市場第一部,プライム市場,,
2130,株式会社メンバーズ,市場第一部,プライム市場,,
2134,燦キャピタルマネージメント株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2136,株式会社ヒップ,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2138,クルーズ株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2139,株式会社中広,市場第一部,スタンダード市場,,
2146,ＵＴグループ株式会社,市場第一部,プライム市場,,
2148,アイティメディア株式会社,市場第一部,プライム市場,,
2150,株式会社ケアネット,マザーズ,グロース市場,,
2152,幼児活動研究会株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2153,Ｅ・Ｊホールディングス株式会社,市場第一部,プライム市場,,
2154,株式会社夢真ビーネックスグループ,市場第一部,プライム市場,,
2156,セーラー広告株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
2157,株式会社コシダカホールディングス,市場第一部,プライム市場,,
2158,株式会社ＦＲＯＮＴＥＯ,マザーズ,グロース市場,,
2159,株式会社フルスピード,市場第二部,スタンダード市場,,
2160,株式会社ジーエヌアイグループ,マザーズ,グロース市場,,
2162,ｎｍｓ　ホールディングス株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2163,株式会社アルトナー,市場第一部,プライム市場,✓,
2164,株式会社地域新聞社,ＪＡＳＤＡＱグロース,グロース市場,✓,
2168,株式会社パソナグループ,市場第一部,プライム市場,,
2169,ＣＤＳ株式会社,市場第一部,スタンダード市場,,
2170,株式会社リンクアンドモチベーション,市場第一部,プライム市場,,
2173,株式会社博展,ＪＡＳＤＡＱグロース,グロース市場,✓,
2175,株式会社エス・エム・エス,市場第一部,プライム市場,,
2176,株式会社イナリサーチ,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2178,株式会社トライステージ,マザーズ,グロース市場,,
2179,株式会社成学社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2180,株式会社サニーサイドアップグループ,市場第一部,プライム市場,✓,
2181,パーソルホールディングス株式会社,市場第一部,プライム市場,,
2183,株式会社リニカル,市場第一部,プライム市場,✓,
2185,株式会社シイエム・シイ,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2186,ソーバル株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2191,テラ株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2193,クックパッド株式会社,市場第一部,スタンダード市場,,
2195,アミタホールディングス株式会社,ＪＡＳＤＡＱグロース,グロース市場,✓,
2196,株式会社エスクリ,市場第一部,プライム市場,✓,
2198,アイ・ケイ・ケイホールディングス株式会社,市場第一部,プライム市場,✓,
2201,森永製菓株式会社,市場第一部,プライム市場,,
2204,株式会社中村屋,市場第一部,プライム市場,✓,
2206,江崎グリコ株式会社,市場第一部,プライム市場,,
2207,名糖産業株式会社,市場第一部,プライム市場,,
2208,株式会社ブルボン,市場第二部,スタンダード市場,,
2209,井村屋グループ株式会社,市場第一部,プライム市場,,
2211,株式会社不二家,市場第一部,プライム市場,,
2212,山崎製パン株式会社,市場第一部,プライム市場,,
2215,第一屋製パン株式会社,市場第一部,スタンダード市場,,
2216,カンロ株式会社,市場第二部,スタンダード市場,,
2217,モロゾフ株式会社,市場第一部,プライム市場,,
2220,亀田製菓株式会社,市場第一部,プライム市場,,
2221,岩塚製菓株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2222,寿スピリッツ株式会社,市場第一部,プライム市場,,
2224,株式会社コモ,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2226,株式会社湖池屋,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2229,カルビー株式会社,市場第一部,プライム市場,,
2264,森永乳業株式会社,市場第一部,プライム市場,,
2266,六甲バター株式会社,市場第一部,プライム市場,,
2267,株式会社ヤクルト本社,市場第一部,プライム市場,,
2268,Ｂ－Ｒ　サーティワン　アイスクリーム株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
2269,明治ホールディングス株式会社,市場第一部,プライム市場,,
2270,雪印メグミルク株式会社,市場第一部,プライム市場,,
2281,プリマハム株式会社,市場第一部,プライム市場,,
2282,日本ハム株式会社,市場第一部,プライム市場,,
2286,林兼産業株式会社,市場第一部,スタンダード市場,,
2288,丸大食品株式会社,市場第一部,プライム市場,,
2291,福留ハム株式会社,市場第二部,スタンダード市場,,
2292,Ｓ　Ｆｏｏｄｓ株式会社,市場第一部,プライム市場,,
2293,滝沢ハム株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2294,株式会社柿安本店,市場第一部,プライム市場,,
2296,伊藤ハム米久ホールディングス株式会社,市場第一部,プライム市場,,
2300,株式会社きょくとう,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2301,株式会社学情,市場第一部,プライム市場,,
2303,株式会社ドーン,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2304,株式会社ＣＳＳホールディングス,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
2305,株式会社スタジオアリス,市場第一部,プライム市場,,
2307,株式会社クロスキャット,市場第一部,プライム市場,✓,
2309,シミックホールディングス株式会社,市場第一部,プライム市場,,
2311,株式会社エプコ,市場第一部,プライム市場,✓,
2315,株式会社ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2317,株式会社システナ,市場第一部,プライム市場,,
2321,株式会社ソフトフロントホールディングス,ＪＡＳＤＡＱグロース,グロース市場,✓,
2323,株式会社ｆｏｎｆｕｎ,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
2325,株式会社ＮＪＳ,市場第一部,プライム市場,✓,
2326,デジタルアーツ株式会社,市場第一部,プライム市場,,
2327,日鉄ソリューションズ株式会社,市場第一部,プライム市場,,
2329,株式会社東北新社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2330,株式会社フォーサイド,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2331,綜合警備保障株式会社,市場第一部,プライム市場,,
2332,株式会社クエスト,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2334,株式会社イオレ,マザーズ,グロース市場,,
2335,株式会社キューブシステム,市場第一部,プライム市場,,
2337,いちご株式会社,市場第一部,プライム市場,,
2338,クオンタムソリューションズ株式会社,市場第二部,スタンダード市場,,
2340,株式会社極楽湯ホールディングス,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2341,株式会社アルバイトタイムス,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2342,株式会社トランスジェニック,マザーズ,グロース市場,,
2344,平安レイサービス株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2345,株式会社クシム,市場第二部,スタンダード市場,,
2349,株式会社エヌアイデイ,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2351,株式会社ＡＳＪ,マザーズ,グロース市場,,
2352,株式会社ＷＯＷ　ＷＯＲＬＤ,市場第一部,プライム市場,✓,
2353,日本駐車場開発株式会社,市場第一部,プライム市場,,
2354,株式会社ＹＥ　ＤＩＧＩＴＡＬ,市場第二部,スタンダード市場,,
2359,株式会社コア,市場第一部,プライム市場,,
2370,株式会社メディネット,マザーズ,グロース市場,,
2371,株式会社カカクコム,市場第一部,プライム市場,,
2372,株式会社アイロムグループ,市場第一部,プライム市場,,
2373,株式会社ケア２１,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2374,セントケア・ホールディング株式会社,市場第一部,プライム市場,,
2375,ギグワークス株式会社,市場第二部,スタンダード市場,,
2376,株式会社サイネックス,市場第一部,スタンダード市場,,
2378,株式会社ルネサンス,市場第一部,プライム市場,,
2379,ディップ株式会社,市場第一部,プライム市場,,
2384,ＳＢＳホールディングス株式会社,市場第一部,プライム市場,,
2385,株式会社総医研ホールディングス,マザーズ,グロース市場,,
2388,株式会社ウェッジホールディングス,ＪＡＳＤＡＱグロース,グロース市場,✓,
2389,株式会社デジタルホールディングス,市場第一部,プライム市場,,
2391,株式会社プラネット,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
2393,株式会社日本ケアサプライ,市場第二部,スタンダード市場,✓,
2395,株式会社新日本科学,市場第一部,プライム市場,,
2397,株式会社ＤＮＡチップ研究所,市場第二部,スタンダード市場,,
2402,株式会社アマナ,マザーズ,グロース市場,✓,
2404,株式会社鉄人化計画,市場第二部,スタンダード市場,✓,
2406,株式会社アルテ　サロン　ホールディングス,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2408,株式会社ＫＧ情報,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
2410,株式会社キャリアデザインセンター,市場第一部,プライム市場,✓,
2411,ゲンダイエージェンシー株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2412,株式会社ベネフィット・ワン,市場第一部,プライム市場,,
2413,エムスリー株式会社,市場第一部,プライム市場,,
2415,ヒューマンホールディングス株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2418,株式会社ツカダ・グローバルホールディング,市場第一部,プライム市場,✓,
2424,株式会社ブラス,市場第一部,プライム市場,✓,
2425,株式会社ケアサービス,市場第二部,スタンダード市場,,
2427,株式会社アウトソーシング,市場第一部,プライム市場,,
2428,ウェルネット株式会社,市場第一部,プライム市場,✓,
2429,株式会社ワールドホールディングス,市場第一部,プライム市場,,
2432,株式会社ディー・エヌ・エー,市場第一部,プライム市場,,
2433,株式会社博報堂ＤＹホールディングス,市場第一部,プライム市場,,
2435,株式会社シダー,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2436,共同ピーアール株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2438,株式会社アスカネット,マザーズ,グロース市場,,
2440,株式会社ぐるなび,市場第一部,プライム市場,,
2445,株式会社タカミヤ,市場第一部,プライム市場,✓,
2449,株式会社プラップジャパン,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2453,ジャパンベストレスキューシステム株式会社,市場第一部,プライム市場,,
2454,株式会社オールアバウト,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2459,アウンコンサルティング株式会社,市場第二部,スタンダード市場,✓,
2461,株式会社ファンコミュニケーションズ,市場第一部,プライム市場,,
2462,ライク株式会社,市場第一部,プライム市場,,
2464,株式会社ビジネス・ブレークスルー,市場第一部,プライム市場,✓,
2468,株式会社フュートレック,市場第二部,スタンダード市場,,
2469,ヒビノ株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2471,株式会社エスプール,市場第一部,プライム市場,,
2475,ＷＤＢホールディングス株式会社,市場第一部,プライム市場,,
2477,手間いらず株式会社,市場第一部,プライム市場,,
2479,株式会社ジェイテック,ＪＡＳＤＡＱグロース,グロース市場,✓,
2480,システム・ロケーション株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
2481,株式会社タウンニュース社,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
2483,株式会社翻訳センター,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2484,株式会社出前館,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2485,株式会社ティア,市場第一部,スタンダード市場,,
2487,株式会社ＣＤＧ,市場第一部,スタンダード市場,,
2488,ＪＴＰ株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2489,株式会社アドウェイズ,市場第一部,プライム市場,,
2491,バリューコマース株式会社,市場第一部,プライム市場,,
2492,株式会社インフォマート,市場第一部,プライム市場,,
2493,イーサポートリンク株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2497,ユナイテッド株式会社,マザーズ,グロース市場,,
2498,株式会社オリエンタルコンサルタンツホールディングス,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2499,日本和装ホールディングス株式会社,市場第二部,スタンダード市場,✓,
2501,サッポロホールディングス株式会社,市場第一部,プライム市場,,
2502,アサヒグループホールディングス株式会社,市場第一部,プライム市場,,
2503,キリンホールディングス株式会社,市場第一部,プライム市場,,
2531,宝ホールディングス株式会社,市場第一部,プライム市場,,
2533,オエノンホールディングス株式会社,市場第一部,プライム市場,,
2540,養命酒製造株式会社,市場第一部,プライム市場,,
2573,北海道コカ・コーラボトリング株式会社,市場第二部,スタンダード市場,✓,
2579,コカ・コーラ　ボトラーズジャパンホールディングス株式会社,市場第一部,プライム市場,,
2585,株式会社ライフドリンク　カンパニー,市場第二部,スタンダード市場,,
2586,株式会社フルッタフルッタ,マザーズ,グロース市場,,
2587,サントリー食品インターナショナル株式会社,市場第一部,プライム市場,,
2588,株式会社プレミアムウォーターホールディングス,市場第二部,スタンダード市場,✓,
2590,ダイドーグループホールディングス株式会社,市場第一部,プライム市場,,
2593,株式会社伊藤園,市場第一部,プライム市場,,
2594,キーコーヒー株式会社,市場第一部,プライム市場,,
2597,株式会社ユニカフェ,市場第一部,スタンダード市場,,
2599,ジャパンフーズ株式会社,市場第一部,スタンダード市場,,
2602,日清オイリオグループ株式会社,市場第一部,プライム市場,,
2607,不二製油グループ本社株式会社,市場第一部,プライム市場,,
2612,かどや製油株式会社,市場第一部,スタンダード市場,✓,
2613,株式会社Ｊ－オイルミルズ,市場第一部,プライム市場,,
2651,株式会社ローソン,市場第一部,プライム市場,,
2652,株式会社まんだらけ,市場第二部,スタンダード市場,,
2653,イオン九州株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
2654,株式会社アスモ,市場第二部,スタンダード市場,,
2656,株式会社ベクター,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2659,株式会社サンエー,市場第一部,プライム市場,,
2664,株式会社カワチ薬品,市場第一部,プライム市場,,
2666,株式会社オートウェーブ,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2667,株式会社イメージ　ワン,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2668,タビオ株式会社,市場第二部,スタンダード市場,,
2669,カネ美食品株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2670,株式会社エービーシー・マート,市場第一部,プライム市場,,
2673,夢みつけ隊株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,✓,
2674,株式会社ハードオフコーポレーション,市場第一部,プライム市場,✓,
2676,高千穂交易株式会社,市場第一部,プライム市場,✓,
2678,アスクル株式会社,市場第一部,プライム市場,,
2681,株式会社ゲオホールディングス,市場第一部,プライム市場,,
2683,株式会社魚喜,市場第二部,スタンダード市場,,
2685,株式会社アダストリア,市場第一部,プライム市場,,
2686,株式会社ジーフット,市場第一部,スタンダード市場,,
2687,株式会社シー・ヴイ・エス・ベイエリア,市場第一部,スタンダード市場,,
2689,オルバヘルスケアホールディングス株式会社,市場第一部,スタンダード市場,,
2692,伊藤忠食品株式会社,市場第一部,プライム市場,,
2693,ＹＫＴ株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2694,株式会社焼肉坂井ホールディングス,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
2695,くら寿司株式会社,市場第一部,プライム市場,,
2698,株式会社キャンドゥ,市場第一部,スタンダード市場,,
2700,木徳神糧株式会社,ＪＡＳＤＡＱスタンダード,スタンダード市場,,
